product_name,category,price,description_raw,url
K-TEXT,Kids,N/A,Nylon Shorts,https://solbiatosport.com/product/k-text/
K-SAAIL,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-saail/
K-THURSDAY,Kids,N/A,Cotton Lycra Short Sleeve T-Shirt,https://solbiatosport.com/product/k-thursday/
K-MONOLITH,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-monolith/
K-CLOTH,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-cloth/
K-RESTON,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-reston/
K-CONGRESS,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-congress/
K-ABSTRACT,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-abstract/
K-WAVED,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-waved/
K-POINTY,Kids,N/A,Cotton Lycra Hoodie T-Shirt,https://solbiatosport.com/product/k-pointy/
